Station_Code,X,Y,Z,sX,sY,sZ
SALU,4566947.88139345,-4443098.52717649,-286674.684193145,0.00071094,0.0007191,0.00060053
SANT,1769693.36096403,-5044574.17277247,-3468320.98081154,0.00057055,0.00062354,0.00071871
SAVO,4870283.7455487,-3864605.3170256,-1418872.49739246,0.00061435,0.00060108,0.00063363
SCH2,1448636.68791836,-3385243.73200387,5191047.11007721,0.00053355,0.00057418,0.00053618
SCOR,1982095.97631005,-798820.987681088,5989464.57545258,0.00053603,0.0005331,0.00056178
SCUB,1474538.05495451,-5811243.27083705,2168958.84403517,0.00058816,0.00081617,0.0005543
SFER,5105518.9465828,-555145.784582965,3769803.44367087,0.00061386,0.00058246,0.00053883
SHAO,-2831733.65970112,4675665.87773061,3275369.35859682,0.00065963,0.00062359,0.00053133
SOFI,4319371.99674899,1868687.8695249,4292063.9759046,0.00059703,0.00059073,0.00053907
STHL,6104817.1928726,-605828.028131322,-1740738.86030428,0.00067197,0.00055032,0.00065821
STJO,2612631.0003458,-3426807.04022935,4686757.91749729,0.00054467,0.00059217,0.000532
SUTH,5041274.86267513,1916054.24826584,-3397075.85995652,0.00061391,0.00054081,0.00073053
SUTM,5041190.24226665,1916067.21459605,-3397189.3133675,0.00061903,0.00054242,0.00073274
SUWN,-3062023.01031703,4055447.94423641,3841818.2136727,0.00066802,0.0006023,0.00054184
SYDN,-4648240.51826347,2560636.46541636,-3526318.25137888,0.00070498,0.00060913,0.00073162
SYOG,1766207.89025069,1460290.32843616,-5932297.66310212,0.00054933,0.00051208,0.00087877
TAEJ,-3120423.2602028,4086355.31597658,3761769.49424342,0.00066916,0.00060359,0.00054082
TAH1,-5246404.15018374,-3077285.05283028,-1913839.12620448,0.00072927,0.00060851,0.00063608
TASH,1695945.05402276,4487138.59200915,4190140.72251126,0.00058508,0.00064008,0.00053985
TCMS,-2982783.08224171,4966660.02618539,2658809.40325319,0.00066987,0.00064595,0.00053516
TEHN,3240499.16556881,4049740.37585896,3701663.1468463,0.00059307,0.00063378,0.00053054
THTI,-5246415.73376751,-3077259.75924743,-1913842.04767692,0.00072883,0.00060831,0.00063598
THU3,538093.43530569,-1389088.07448002,6180979.27785327,0.00053563,0.00051808,0.00059953
TID1,-4460996.59786048,2682557.0796791,-3674443.09434067,0.0006982,0.00061086,0.00074014
TIDB,-4460996.59756965,2682557.0794979,-3674443.09394696,0.00069655,0.00060998,0.00073903
TIXI,-1264873.29439931,1569455.77431733,6031003.42050436,0.00058067,0.00050462,0.00056711
TLSE,4627851.76384132,119640.108212271,4372993.60382765,0.00059804,0.00057669,0.00054309
TNML,-2982779.26724145,4966662.56226368,2658805.67256256,0.00066948,0.00064532,0.00053494
TOUL,4627845.96685343,119629.422473578,4372999.88069697,0.00097134,0.00062239,0.00090223
TOW2,-5054583.08739804,3275504.25490901,-2091539.00388609,0.00072996,0.00062479,0.00066333
TRAB,3705250.25292656,3084421.76309911,4162044.82388027,0.00059827,0.00061478,0.00054331
TRO1,2102928.39321522,721619.505511686,5958196.29874982,0.00054593,0.00053824,0.00056516
TROM,2102940.10749558,721569.504658774,5958192.20673775,0.00054609,0.00053828,0.00056621
TUVA,-6307543.76442965,88454.7050660562,-939277.917056673,0.00081723,0.00058155,0.00061135
UFPR,3763751.66990753,-4365113.87054874,-2724404.59295535,0.00059169,0.00060348,0.00068892
